Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
1,0,0
1,1,0
1,2,0
1,3,1.13687e-13
1,4,3.55271e-14
1,5,-2.62901e-13
1,6,0
1,7,7.10543e-15
1,8,0
1,9,1.42109e-14
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,7.10543e-15
2,6,-7.10543e-15
2,7,0
2,8,7.10543e-15
2,9,0
3,0,0
3,1,1.13687e-13
3,2,0
3,3,0
3,4,7.10543e-15
3,5,-9.9476e-14
3,6,0
3,7,0
3,8,0
3,9,-7.10543e-15
4,0,0
4,1,3.55271e-14
4,2,0
4,3,7.10543e-15
4,4,0
4,5,-9.9476e-14
4,6,0
4,7,0
4,8,0
4,9,-3.55271e-14
5,0,0
5,1,-2.62901e-13
5,2,7.10543e-15
5,3,-9.9476e-14
5,4,-9.9476e-14
5,5,0
5,6,0
5,7,0
5,8,0
5,9,-1.49214e-13
6,0,0
6,1,0
6,2,-7.10543e-15
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,-7.10543e-15
7,0,0
7,1,7.10543e-15
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
8,0,0
8,1,0
8,2,7.10543e-15
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
9,0,0
9,1,1.42109e-14
9,2,0
9,3,-7.10543e-15
9,4,-3.55271e-14
9,5,-1.49214e-13
9,6,-7.10543e-15
9,7,0
9,8,0
9,9,0
